# This is a comma-delimited file of Area Detector parameters
# PV Name, ASYN Param Name, ASYN Param Type, Parameter Variable Name, Parameter String Name, Boolean Pre-existing, Boolean PV Inhibit, DataViewer String
# Pre-existing is true if the variable already exists in base classes of AreaDetector, or false if a new variable is being created.
# PV Inhibit will inhibit generation of a PV.  This is primarily intended for mbbo-type PVs, that do not lend themselves to automatic generation.  This is independent of Pre-existing, as one may want to override a PV
$(P)$(R)AcquireTime, ACQ_TIME, d, ADAcquireTime, ADAcquireTimeString, 1, 1, "Exposure"
$(P)$(R)TriggerMode, TRIGGER_MODE, i32, ADTriggerMode, ADTriggerModeString, 1, 1, "Trigger"
$(P)$(R)NumImages, NIMAGES, i32, ADNumImages, ADNumImagesString, 1, 1, "NImages"
$(P)$(R)ShutterControl, SHUTTER_CONTROL, i32, ADShutterControl, ADShutterControlString, 1, 1, "Shutter"
$(P)$(R)InterframeTime, SD_INTERFRAME_TIME, d, SDInterframeTime, SDInterframeTimeString, 0, 0, "Interframe"
$(P)$(R)NumFrames, SD_NUM_FRAMES, i32, SDNumFrames, SDNumFramesString, 0, 0, "NFrames"
$(P)$(R)SensorPower, SD_SENSOR_POWER, i32, SDSensorPower, SDSensorPowerString, 0, 1, ""
$(P)$(R)LinkStatus, SD_LINK_STATUS, i32, SDLinkStatus, SDLinkStatusString, 0, 0, ""
$(P)$(R)ReverseX, REVERSE_X, i32, ADReverseX, ADReverseXString, 1, 1, "HFlip"
$(P)$(R)ReverseY, REVERSE_Y, i32, ADReverseY, ADReverseYString, 1, 1, "VFlip"
$(P)$(R)DSNU, SD_DSNU, i32, SDDSNUMode, SDDSNUString, 0, 1, "DSNU"
$(P)$(R)PRNU, SD_PRNU, i32, SDPRNUMode, STPRNUString, 0, 1, "PRNU"
$(P)$(R)RunName, SD_RUN_NAME, s, SDRunName, SDRunNameString, 0, 0, "RunName"
$(P)$(R)SetName, SD_SET_NAME, s, SDSetName, SDSetNameString, 0, 0, "SetName"
$(P)$(R)StartTrig, SD_START_TRIG, i32, SDStartTrig, SDStartTrigString, 0, 0, "actionTrigger"
$(P)$(R)MinX, MIN_X, i32, ADMinX, ADMinXString, 1, 1, "@AcqROI"
$(P)$(R)MinY, MIN_Y, i32, ADMinY, ADMinYString, 1, 1, "@AcqROI"
$(P)$(R)SizeX, SIZE_X, i32, ADSizeX, ADSizeXString, 1, 1, "@AcqROI"
$(P)$(R)SizeY, SIZE_Y, i32, ADSizeY, ADSizeYString, 1, 1, "@AcqROI"
$(P)$(R)EnableRegion, SD_ENABLE_ROI, i32, SDEnableROI, SDEnableROIString, 0, 0, "@AcqROI"
$(P)$(R)StartCapture, SD_START_CAPTURE, i32, SDStartCapture, SDStartCaptureString, 0, 0, "actionCapture"
$(P)$(R)CaptureMode, SD_CAPTURE_MODE, i32, SDCaptureMode, SDCaptureModeString, 0, 1, "CaptureMode"
$(P)$(R)Binning, SD_BINNING, i32, SDBinMode, SDBinModeString, 0, 1, "Resolution"
$(P)$(R)GainMode, SD_GAIN_MODE, i32, SDGainMode, SDGainModeString, 0, 1, "Mode"
$(P)$(R)CorGeo_En, SD_GEOCORRECT_EN, i32, SDGeoCorEn, SDGeoCorEnString, 0, 1, "@COR_GEOCORRECT"
$(P)$(R)CorRot_En, SD_COR_ROT_EN, i32, SDCorRotEn, SDCorRotEnString, 0, 1, "@COR_ROTATE"
$(P)$(R)CorRot_Theta, SD_COR_ROT_THETA, d, SDCorRotTheta, SDCorRotThetaString, 0, 0, "@COR_ROTATE"
$(P)$(R)InTrigEdge, SD_IN_TRIG_EDGE, i32, SDInTrigEdge, SDInTrigEdgeString, 0, 1, "InputTriggerEdge"
$(P)$(R)OutTrigEdge, SD_OUT_TRIG_EDGE, i32, SDOutTrigEdge, SDOutTrigEdgeString, 0, 1, "OutputEdge"
$(P)$(R)OutTrigMode, SD_OUT_TRIG_MODE, i32, SDOutTrigMode, SDOutTrigModeString, 0, 1, "OutputTrigger"

